V_in,V_c,V_th,x_1,x_2,t
502.680,617.000,631.544,1023.000,0.000,2.367
484.044,614.000,625.260,1023.000,0.000,2.372
465.553,609.000,618.372,1023.000,0.000,2.377
447.308,600.000,610.919,1023.000,0.000,2.382
429.405,591.000,602.940,1023.000,0.000,2.387
411.942,585.000,594.477,1023.000,0.000,2.392
388.405,579.000,582.136,1023.000,0.000,2.399
372.367,572.000,572.688,1023.000,0.000,2.404
357.071,561.000,562.918,1023.000,0.000,2.409
342.600,550.000,552.878,1023.000,0.000,2.414
329.030,540.000,542.623,1023.000,0.000,2.419
314.039,534.000,530.185,1023.000,0.000,2.425
302.699,525.000,519.643,1023.000,0.000,2.430
292.474,513.000,509.062,1023.000,0.000,2.435
281.752,503.000,496.449,1023.000,0.000,2.441
274.162,492.000,485.978,1023.000,0.000,2.446
267.840,484.000,475.648,1023.000,0.000,2.451
261.971,477.000,463.546,1023.000,0.000,2.457
258.544,465.000,453.715,1023.000,0.000,2.462
256.467,456.000,444.197,1023.000,0.000,2.467
255.750,447.000,435.041,1023.000,0.000,2.472
256.399,438.000,426.297,1023.000,0.000,2.477
259.593,433.000,414.811,1023.000,0.000,2.484
263.489,425.000,407.241,1023.000,0.000,2.489
268.710,417.000,400.230,1023.000,0.000,2.494
275.226,410.000,393.815,1023.000,0.000,2.499
283.003,404.000,388.032,1023.000,0.000,2.504
293.941,401.000,381.916,1023.000,0.000,2.510
304.337,398.000,377.625,1023.000,0.000,2.515
315.839,392.000,374.051,1023.000,0.000,2.520
331.014,388.000,370.661,1023.000,0.000,2.526
344.725,386.000,368.727,1023.000,0.000,2.531
362.344,386.000,367.329,1023.000,0.000,2.537
377.909,387.000,367.086,1023.000,0.000,2.542
394.188,386.000,367.614,1023.000,0.000,2.547
411.093,385.000,368.910,1023.000,0.000,2.552
428.533,386.000,370.967,1023.000,0.000,2.557
446.415,387.000,373.775,1023.000,0.000,2.562
472.013,393.000,378.686,1023.000,0.000,2.569
490.566,398.000,383.237,1023.000,0.000,2.574
509.232,401.000,388.472,1023.000,0.000,2.579
527.909,405.000,394.362,1023.000,0.000,2.584
546.496,409.000,400.874,1023.000,0.000,2.589
568.549,418.000,409.355,1023.000,0.000,2.595
586.597,426.000,417.119,1023.000,0.000,2.600
604.246,434.000,425.385,1023.000,0.000,2.605
624.762,439.000,435.801,1023.000,0.000,2.611
641.199,446.000,445.016,1023.000,0.000,2.616
660.004,456.000,456.441,1023.000,0.000,2.622
674.810,467.000,466.369,1023.000,0.000,2.627
688.743,477.000,476.535,1023.000,0.000,2.632
701.731,487.000,486.885,1023.000,0.000,2.637
713.702,493.000,497.362,1023.000,0.000,2.642
724.595,503.000,507.913,1023.000,0.000,2.647
737.923,515.000,522.562,1023.000,0.000,2.654
746.000,524.000,533.066,1023.000,0.000,2.659
752.826,534.000,543.451,1023.000,0.000,2.664
758.364,542.000,553.663,1023.000,0.000,2.669
762.584,550.000,563.645,1023.000,0.000,2.674
765.878,560.000,575.231,1023.000,0.000,2.680
767.131,570.000,584.529,1023.000,0.000,2.685
767.019,579.000,593.435,1023.000,0.000,2.690
765.085,587.000,603.544,1023.000,0.000,2.696
761.984,592.000,611.421,1023.000,0.000,2.701
756.501,600.000,620.190,1023.000,0.000,2.707
750.490,607.000,626.838,1023.000,0.000,2.712
743.205,614.000,632.868,1023.000,0.000,2.717
734.682,620.000,638.250,1023.000,0.000,2.722
724.969,621.000,642.953,1023.000,0.000,2.727
714.116,626.000,646.953,1023.000,0.000,2.732
697.120,630.000,651.493,1023.000,0.000,2.739
683.781,634.000,653.719,1023.000,0.000,2.744
669.521,636.000,655.185,1023.000,0.000,2.749
654.419,635.000,655.884,1023.000,0.000,2.754
638.553,634.000,655.812,1023.000,0.000,2.759
618.628,636.000,654.807,1023.000,0.000,2.765
601.387,636.000,653.043,1023.000,0.000,2.770
583.667,634.000,650.523,1023.000,0.000,2.775
561.902,629.000,646.630,1023.000,0.000,2.781
543.464,624.000,642.498,1023.000,0.000,2.786
521.120,622.000,636.731,1023.000,0.000,2.792
502.435,619.000,631.092,1023.000,0.000,2.797
483.799,612.000,624.817,1023.000,0.000,2.802
465.312,605.000,617.940,1023.000,0.000,2.807
447.072,598.000,610.496,1023.000,0.000,2.812
425.644,593.000,600.979,1023.000,0.000,2.818
404.877,586.000,590.768,1023.000,0.000,2.824
388.189,577.000,581.702,1023.000,0.000,2.829
372.161,568.000,572.264,1023.000,0.000,2.834
356.877,558.000,562.506,1023.000,0.000,2.839
342.416,550.000,552.477,1023.000,0.000,2.844
326.262,543.000,540.244,1023.000,0.000,2.850
313.882,532.000,529.808,1023.000,0.000,2.855
302.557,522.000,519.277,1023.000,0.000,2.860
290.446,511.000,506.657,1023.000,0.000,2.866
281.645,501.000,496.112,1023.000,0.000,2.871
272.708,494.000,483.622,1023.000,0.000,2.877
266.659,484.000,473.335,1023.000,0.000,2.882
261.917,473.000,463.256,1023.000,0.000,2.887
258.508,463.000,453.437,1023.000,0.000,2.892
256.448,454.000,443.930,1023.000,0.000,2.897
255.774,448.000,433.012,1023.000,0.000,2.903
257.065,440.000,422.690,1023.000,0.000,2.909
259.635,431.000,414.612,1023.000,0.000,2.914
263.549,423.000,407.054,1023.000,0.000,2.919
268.787,416.000,400.055,1023.000,0.000,2.924
275.320,410.000,393.653,1023.000,0.000,2.929
